ID,Question
Q2.1,"My faculty mentor is the kind of professional that I would like to emulate, regardless of the career I end up pursuing."
Q2.2,I feel comfortable asking my faculty mentor questions in front of other students.
Q2.3,"In general, my faculty mentor respects the academic abilities of the students that they work with."
Q2.4,I see my faculty mentor as a role model.
Q2.5,I feel comfortable asking  my faculty mentor for assistance.
Q2.6,My faculty mentor respects me as a person.
Q3.1,I feel like I belong in the sciences.
Q3.2,It is very important for me to be good at science.
Q3.3,Science is a big part of who I am.
Q4.1,I feel confident when I do the work requested of me by my faculty mentor.
Q4.2,I feel I will succeed in my work with my faculty mentor.
Q4.3,I often feel nervous about doing the work required of me by my faculty mentor.
Q5.1,Briefly describe your experience working with your faculty mentor.
